mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
gdb_65516,CC1(OC2CC12)C1CN1,3.11349,1.43865,1.22003,1.7661,77.75,-0.2408,0.0736,0.3144,1092.7152,0.170774,-403.079251,-403.070917,-403.069973,-403.111961,32.702
gdb_22429,ON=C1CC2CC(C1)O2,3.64063,1.24925,1.10175,1.4225,74.15,-0.2398,0.0075,0.2473,1118.7771,0.149112,-439.04001,-439.032537,-439.031592,-439.072026,29.847
gdb_22195,C[NH2+]CC(CC#N)=N[O-],1.98831,1.22992,0.84705,8.2679,83.81,-0.1509,0.0072,0.1581,1372.1477,0.145805,-435.173912,-435.16382,-435.162876,-435.209528,35.122
gdb_110809,COC1C2CC(C#C)C12,2.0422,1.82412,1.15961,1.187,81.1,-0.2432,0.0479,0.2911,1111.5856,0.157994,-385.809933,-385.801095,-385.800151,-385.843329,33.447
gdb_47119,N=C1NC(=CCO1)C#C,3.30237,1.26351,0.93358,2.8254,79.84,-0.2166,-0.0328,0.1837,1187.708,0.113096,-416.79669,-416.788635,-416.787691,-416.829476,30.396
gdb_933,Cc1cnccn1,5.89436,2.6957,1.87112,0.5825,61.88,-0.2438,-0.0469,0.1969,657.0932,0.103975,-303.553222,-303.547289,-303.546344,-303.583364,21.298
gdb_8579,CC1CN2CC(C2)O1,3.90375,1.93447,1.67806,0.3499,70.7,-0.2083,0.0829,0.2912,855.1841,0.167719,-365.025238,-365.018367,-365.017423,-365.055961,27.783
gdb_58330,CC(O)C(C)CCC=O,3.37325,0.66804,0.58374,3.6077,83.67,-0.246,-0.0174,0.2286,1910.9394,0.202052,-425.442505,-425.431148,-425.430204,-425.480084,40.27
gdb_105724,NCC1(COC=N1)C#N,2.41015,1.46468,1.1828,3.4218,69.24,-0.2495,-0.0128,0.2367,1079.5246,0.125873,-434.080289,-434.071869,-434.070925,-434.113815,30.398
gdb_9528,CCC1(O)COC1=O,2.84446,1.84785,1.55213,2.9613,60.34,-0.2682,-0.0071,0.2611,894.4808,0.129005,-420.900687,-420.892377,-420.891433,-420.933404,29.788
gdb_117513,CC[NH2+]C(C#C)C([O-])=O,2.14651,1.1306,0.77938,5.2098,75.02,-0.2541,0.012,0.2661,1454.4402,0.145702,-439.077001,-439.067101,-439.066157,-439.112706,35.176
gdb_63746,CC1(CC2(O1)CCC2)C,3.52483,1.12275,1.01349,1.3944,85.86,-0.2347,0.0763,0.311,1310.3889,0.204361,-388.28547,-388.276098,-388.275154,-388.319595,36.542
gdb_88859,CC1CC1C1CCCO1,3.32054,1.09003,0.96896,1.6327,85.99,-0.2411,0.0852,0.3263,1344.9003,0.206992,-388.289713,-388.280556,-388.279612,-388.324324,34.632
gdb_102209,C(C#N)C(CC#N)CO,3.34027,0.88141,0.73382,4.6536,73.25,-0.2847,-0.0053,0.2794,1463.1521,0.135061,-418.031785,-418.022092,-418.021148,-418.067146,33.825
gdb_59276,CC(C)C1C=CC2OC12,3.0044,1.31994,1.02609,1.6535,82.77,-0.2436,0.0005,0.2441,1224.7648,0.182228,-387.082291,-387.073529,-387.072584,-387.1159,33.853
gdb_17961,C1CN=COCC=C1,2.89805,2.43566,1.56165,1.6938,70.83,-0.2417,0.0115,0.2532,841.9517,0.14398,-363.855492,-363.848471,-363.847527,-363.88657,27.043
gdb_81182,CN1C2CC1(CC=O)C2,2.89166,1.24997,1.05467,2.9671,80.54,-0.2193,-0.026,0.1934,1200.0204,0.169235,-403.079341,-403.070451,-403.069507,-403.113715,33.198
gdb_68315,CC12CC(C1)N2CC#N,3.40322,1.10381,0.98196,4.9144,81.32,-0.2374,0.0295,0.267,1254.2378,0.15888,-382.011258,-382.002763,-382.001819,-382.044852,32.357
gdb_126542,CCCc1nc(no1)C,5.41438,0.77774,0.72563,1.7197,78.78,-0.2733,-0.0122,0.2611,1630.7609,0.158794,-419.236906,-419.227541,-419.226596,-419.272522,32.888
gdb_36096,C#CCC12CC1C1NC21,3.58051,1.15464,1.04065,1.8263,80.84,-0.2091,0.0499,0.259,1190.7179,0.146653,-364.686722,-364.67865,-364.677706,-364.719593,31.929
gdb_91828,CC1CC2(CC2O1)C#N,3.71106,1.15945,1.04903,3.83,76.82,-0.2533,0.0276,0.2809,1180.452,0.148139,-401.95853,-401.950219,-401.949275,-401.992048,31.306
gdb_29861,Cn1cc2c(c1)OCO2,4.94139,1.24193,1.01081,1.8304,73.31,-0.1873,0.0403,0.2276,1138.6449,0.125982,-437.885538,-437.877943,-437.876999,-437.917688,28.402
gdb_126861,CCn1c(=NC)onn1,2.21038,1.56729,0.99085,2.3913,73.74,-0.2321,-0.0362,0.1958,1206.5764,0.134355,-451.281494,-451.27212,-451.271176,-451.317698,31.839
gdb_79603,CC1C2C3CC3C(=O)C12,2.1594,1.82819,1.42625,3.2133,78.61,-0.2319,-0.0205,0.2114,1016.763,0.160804,-385.882193,-385.874529,-385.873585,-385.914193,30.663
gdb_41211,C1CC23CC4(CCC24)C13,2.7219,1.81291,1.5778,1.1985,92.09,-0.182,-0.0429,0.1391,966.8954,0.185246,-349.876292,-349.869273,-349.868329,-349.906915,30.822
gdb_127808,Cn1c2nncn2nn1,3.66323,1.76995,1.20245,3.0737,65.81,-0.2499,-0.0507,0.1992,936.775,0.091635,-445.058309,-445.051529,-445.050584,-445.090021,24.429
gdb_46080,O=C1OCC(O1)C1CN1,3.55378,1.20655,1.02353,4.1799,64.46,-0.2629,0.0325,0.2954,1147.3897,0.126094,-475.040445,-475.032825,-475.031881,-475.073529,27.629
gdb_20652,CC1=CC=NNC1=N,3.38136,2.26776,1.36868,1.3586,72.91,-0.2092,-0.0474,0.1618,863.4343,0.121371,-358.865519,-358.858604,-358.85766,-358.896454,26.425
gdb_50827,N=COC(=O)C1CCC1,4.79464,0.81053,0.75628,1.3343,76.59,-0.2727,-0.0253,0.2474,1526.0907,0.147466,-439.109075,-439.100135,-439.099191,-439.144242,31.493
gdb_104263,COC1(C)CCC1C#C,2.1837,1.4365,1.11037,1.7601,84.83,-0.2417,0.053,0.2948,1218.1099,0.179566,-387.038687,-387.02869,-387.027745,-387.073248,37.503
gdb_72535,OC12COC(OC1)C=C2,2.73973,1.7399,1.73356,2.3949,67.1,-0.2436,-0.0015,0.242,886.4955,0.137323,-458.955281,-458.948179,-458.947235,-458.986255,29.047
gdb_12090,CC1NC1C1(C)CN1,3.18504,1.63262,1.35202,2.3039,74.93,-0.2364,0.0674,0.3039,1009.6631,0.177163,-345.133654,-345.125059,-345.124115,-345.166994,32.521
gdb_66707,CC12C3C4C1C2(C#N)N34,2.80721,1.73479,1.30424,5.1569,74.26,-0.2419,-0.0096,0.2323,967.9947,0.112201,-379.564635,-379.557339,-379.556395,-379.596328,27.969
gdb_1065,CNc1cc[nH]c1,7.25818,1.95273,1.55954,1.3933,63.62,-0.1704,0.0575,0.2278,778.171,0.127208,-304.720708,-304.713909,-304.712965,-304.751168,25.578
